,Location,X,Y
0,"942, 21st Main Road, 2nd Stage, Banashankari, Bangalore",12.9190077,77.5674626
1,"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore",12.9276865,77.551507
2,"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",12.9271909,77.5601644
3,"1st Floor, Annakuteera, 3rd Stage, Banashankari, Bangalore",12.9249551,77.5502328
4,"10, 3rd Floor, Lakshmi Associates, Gandhi Bazaar Main Road, Above Reliance Trends, Basavanagudi, Bangalore",12.9445559,77.5698732
5,"37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",12.9452682,77.5687011
6,"19/1, New Timberyard Layout, Beside Satellite Bus Stop, Mysore Road, Bangalore",12.9531262,77.5428386
7,"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",12.9243475,77.5621368
8,"1, 30th Main Road, 3rd Stage, Banashankari, Bangalore",12.925815,77.5585034
9,"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",12.9241104,77.5619944
10,"12,29 Near PES University Back Gate, D'Souza Nagar, Hosakerehalli, 3rd Stage, Banashankari, Bangalore",12.9349544,77.5315135
11,"615, Janardhan Mansion, 32nd D Cross Road, 10th C Main Road, 4th Block, Jayanagar, Bangalore",12.9272944,77.5829845
12,"117, Govindadappa Road, Gandhi Bazar, Basavangudi, Bangalore",12.9465774,77.5693046
13,"125, 1st Floor, Abalashram Building, DV Gundappa Road, Basavanagudi, Bangalore",12.9432995,77.5688544
14,"129, D.R.Complex, DVG Road, Basavanagudi, Bangalore",12.9471947,77.5692617
15,"20, East Anjenaya Temple Street, Basavanagudi, Bangalore",12.9441618,77.5681054
16,"44/1, Bull Temple Road, Near Dodda Ganapati Temple, Basavanagudi, Bangalore",12.9429032,77.5660026
17,"200, Next to Canara Bank, KG Road, Gandhi Bazaar, Basavanagudi, Bangalore",12.9443534,77.570843
18,"1431, 22nd Cross, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",12.925768,77.5618719
19,"14, 2nd Floor, Panchanjanya Tower, Phase III, 3rd Stage, 100 Feet Road, Banashankari, Bangalore",12.9251456,77.5486107
20,"488/1, 7th Main Road, 50 Feet Road, Hannumantha Nagar, Banashankari, Bangalore",12.9439007,77.5594318
21,"39/3C, Banashankari, Bangalore",12.9466782,77.54382
22,"715, Hari Complex, 22nd Cross KR Road, 2nd stage, Banashankari, Bangalore",12.9238899,77.5712533
23,"38/2, 1st Main, Mount Joy Extension, Hanumanthanagar, Girinagar, Banashankari, Bangalore",12.9421374,77.5498054
24,"2nd Floor, 980, 13th Cross, 2nd Stage, Banashankari, Bangalore",12.9294027,77.5609407
25,"24, 5th cross, 7th Main Road, Dwarkanagar, near Pesit College, Hosakerehalli, Bangalore, Banashankari",12.9328038,77.5344195
26,"173, 5th Main, Avalahalli Extension, Near Girinagar, Banashankari, Bangalore",12.943216,77.5421687
27,"80, BDA Complex, 2nd Stage, Banashankari, Bangalore",12.9244709,77.5621016
28,"32, 7th Main Road, Dwaraka Nagar,Near PES College, Banashankari, Bangalore",12.9353798,77.5324769
29,"8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore",12.9401705,77.5622152
30,"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore",12.93313,77.5794403
31,"556/A, Water Tank Road, 3rd Stage, Banashankari, Bangalore",12.931329,77.5431311
32,"39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore",12.9464355,77.5620239
33,"Opp Vinayaka hospital, Near Seetha Circle , 80 Feet Road, Banashankari, Bangalore",12.9380055,77.5488846
